thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,causalColor,direction,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.991163500002585,16.001850300002843,16.50170659995638,33.107366999960504,space,16.591561100038234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
0,0,0,,,Portal,0,f,0.45339049998437986,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,33.12413589999778,,35.569401899992954,35.58025949995499,,36.369700099981856,,,,,,,,#4DAF4A,LR,33.117486999952234,33.12413589999778,33.12413589999778,33.12413589999778,33.12413589999778,33.12413589999778,33.12413589999778,33.12413589999778,34.12726149999071,34.12726149999071,34.12726149999071,34.12726149999071,34.12726149999071,34.12726149999071,34.12726149999071,34.11435079999501,34.11438639997505,34.12726149999071,34.12726149999071,34.11447339999722,34.1184818999609,34.12726149999071,34.12726149999071,34.12726149999071,34.12726149999071,34.12726149999071,34.12726149999071,34.12726149999071,35.11354079999728,35.12527919997228,35.12527919997228,35.12527919997228,35.12527919997228,35.12527919997228,35.12527919997228,35.569340499991085,f,0.45339049998437986,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
1,1,0,,,Barrier,0.16,f,0.3813563999719918,None,,,,,,,,,,,,,0,0,0,0,0,1,1,11,36.38010729994858,,38.91510379995452,38.92445809999481,39.72428179997951,39.71445319999475,,,,,,,,#A65628,LR,36.373194799991325,36.38010729994858,36.38010729994858,36.38010729994858,36.38010729994858,36.38010729994858,36.38010729994858,36.38010729994858,37.38054559996817,37.38054559996817,37.38054559996817,37.38054559996817,37.38054559996817,37.38054559996817,37.38054559996817,37.37017139996169,37.370220299984794,37.38054559996817,37.53651649999665,37.525649399962276,37.52950109995436,37.53651649999665,37.53651649999665,37.53651649999665,37.53651649999665,37.53651649999665,37.53651649999665,37.53651649999665,38.525386499997694,38.53550479997648,38.53550479997648,38.53550479997648,38.53550479997648,38.53550479997648,38.53550479997648,38.91501319996314,f,0.3813563999719918,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
2,2,0,,,Portal,0.02,f,0.5578721000347286,None,,,,,,,,,,,,,0,0,0,0,0,2,2,2,39.72428179997951,,42.30440319998888,42.31334439996863,43.11299949995009,43.10249619995011,,,,,,,,#F781BF,RL,39.717480599996634,39.72428179997951,39.72428179997951,39.72428179997951,39.72428179997951,39.72428179997951,39.72428179997951,39.72428179997951,40.72532869997667,40.72532869997667,40.72532869997667,40.72532869997667,40.72532869997667,40.72532869997667,40.72532869997667,40.71347539999988,40.7135218999465,40.72532869997667,40.74741679994622,40.73557919997256,40.739255799970124,40.74741679994622,40.74741679994622,40.74741679994622,40.74741679994622,40.74741679994622,40.74741679994622,40.74741679994622,41.735375999996904,41.74747629999183,41.74747629999183,41.74747629999183,41.74747629999183,41.74747629999183,41.74747629999183,42.30430209997576,f,0.5578721000347286,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
3,3,0,,,Barrier,0.02,j,0.4653325999970548,None,,,,,,,,,,,,,0,0,0,0,0,3,3,8,43.11299949995009,,45.59221360000083,45.60184819996357,46.40173219999997,46.39092219999293,,,,,,,,#1B9E77,LR,43.10532219999004,43.11299949995009,43.11299949995009,43.11299949995009,43.11299949995009,43.11299949995009,43.11299949995009,43.11299949995009,44.11301679996541,44.11301679996541,44.11301679996541,44.11301679996541,44.11301679996541,44.11301679996541,44.11301679996541,44.10300659999484,44.103043299983256,44.11301679996541,44.13565519999247,44.125413200003095,44.12942329997895,44.13565519999247,44.13565519999247,44.13565519999247,44.13565519999247,44.13565519999247,44.13565519999247,44.13565519999247,45.12497379997512,45.13605839997763,45.13605839997763,45.13605839997763,45.13605839997763,45.13605839997763,45.13605839997763,45.59211599995615,j,0.4653325999970548,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
4,4,0,,,Portal,0.08,f,0.35726039996370673,None,,,,,,,,,,,,,0,0,0,0,0,4,4,4,46.40173219999997,,48.83648810000159,48.84705329994904,49.64682389999507,49.636112199979834,,,,,,,,#A65628,RL,46.39393629995175,46.40173219999997,46.40173219999997,46.40173219999997,46.40173219999997,46.40173219999997,46.40173219999997,46.40173219999997,47.402830599981826,47.402830599981826,47.402830599981826,47.402830599981826,47.402830599981826,47.402830599981826,47.402830599981826,47.39188599999761,47.39192279998679,47.402830599981826,47.479895500000566,47.46858179999981,47.47231369995279,47.479895500000566,47.479895500000566,47.479895500000566,47.479895500000566,47.479895500000566,47.479895500000566,47.479895500000566,48.46928389999084,48.47946269996464,48.47946269996464,48.47946269996464,48.47946269996464,48.47946269996464,48.47946269996464,48.83639669994591,f,0.35726039996370673,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
5,5,0,,,Barrier,0.01,j,0.3532288999995217,None,,,,,,,,,,,,,0,0,0,0,0,5,5,7,49.64682389999507,,52.00224249996245,52.01333960000193,,52.80261019995669,,,,,,,,#F781BF,LR,49.63967539998703,49.64682389999507,49.64682389999507,49.64682389999507,49.64682389999507,49.64682389999507,49.64682389999507,49.64682389999507,50.646031499956734,50.646031499956734,50.646031499956734,50.646031499956734,50.646031499956734,50.646031499956734,50.646031499956734,50.636191300000064,50.63624429999618,50.646031499956734,50.65809869999066,50.64625489996979,50.64995239995187,50.65809869999066,50.65809869999066,50.65809869999066,50.65809869999066,50.65809869999066,50.65809869999066,50.65809869999066,51.64705109997885,51.658016399946064,51.658016399946064,51.658016399946064,51.658016399946064,51.658016399946064,51.658016399946064,52.00208999996539,j,0.3532288999995217,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
6,6,0,,,Standard,0.08,j,0.29201829998055473,None,,,,,,,,,,,,,0,0,0,0,0,6,6,16,52.81349309999496,,55.180680399993435,55.19020569999702,55.99010429996997,55.97974789998261,,,,,,,,#FF7F00,RL,52.80594910000218,52.81349309999496,52.81349309999496,52.81349309999496,52.81349309999496,52.81349309999496,52.81349309999496,52.81349309999496,53.812676499946974,53.812676499946974,53.812676499946974,53.812676499946974,53.812676499946974,53.812676499946974,53.812676499946974,53.803526199946646,53.80359429999953,53.812676499946974,53.892969299980905,53.879878199950326,53.884641899960116,53.892969299980905,53.892969299980905,53.892969299980905,53.892969299980905,53.892969299980905,53.892969299980905,53.892969299980905,54.87968399998499,54.891326699987985,54.891326699987985,54.891326699987985,54.891326699987985,54.891326699987985,54.891326699987985,55.180586399976164,j,0.29201829998055473,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
7,7,0,,,Barrier,0.04,f,0.22913430002517998,None,,,,,,,,,,,,,0,0,0,0,0,7,7,9,55.99010429996997,,58.257117999950424,58.2682383999927,,59.0578529999475,,,,,,,,#377EB8,LR,55.983018399972934,55.99010429996997,55.99010429996997,55.99010429996997,55.99010429996997,55.99010429996997,55.99010429996997,55.99010429996997,56.99104629998328,56.99104629998328,56.99104629998328,56.99104629998328,56.99104629998328,56.99104629998328,56.99104629998328,56.97965429996839,56.97968839999521,56.99104629998328,57.03458799998043,57.023910899995826,57.02870049997,57.03458799998043,57.03458799998043,57.03458799998043,57.03458799998043,57.03458799998043,57.03458799998043,57.03458799998043,58.023440499964636,58.035449099959806,58.035449099959806,58.035449099959806,58.035449099959806,58.035449099959806,58.035449099959806,58.25705839996226,f,0.22913430002517998,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
8,8,0,,,Standard,0.04,j,0.2711449000053108,None,,,,,,,,,,,,,0,0,0,0,0,8,8,15,59.06875499995658,,61.379129499953706,61.39090619998751,,62.179840600001626,,,,,,,,#A65628,RL,59.0619219999644,59.06875499995658,59.06875499995658,59.06875499995658,59.06875499995658,59.06875499995658,59.06875499995658,59.06875499995658,60.068191799975466,60.068191799975466,60.068191799975466,60.068191799975466,60.068191799975466,60.068191799975466,60.068191799975466,60.0578260999755,60.05787719995715,60.068191799975466,60.112532300001476,60.10194169997703,60.10518889996456,60.112532300001476,60.112532300001476,60.112532300001476,60.112532300001476,60.112532300001476,60.112532300001476,60.112532300001476,61.10198459995445,61.11270119994879,61.11270119994879,61.11270119994879,61.11270119994879,61.11270119994879,61.11270119994879,61.379069299960975,j,0.2711449000053108,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
9,9,0,,,Portal,0.16,j,0.32661729998653755,None,,,,,,,,,,,,,0,0,0,0,0,9,9,5,62.18980910000391,,64.6683094999753,64.67879069998162,65.47897569998167,65.46783249999862,,,,,,,,#F781BF,LR,62.182958899997175,62.18980910000391,62.18980910000391,62.18980910000391,62.18980910000391,62.18980910000391,62.18980910000391,62.18980910000391,63.19073859998025,63.19073859998025,63.19073859998025,63.19073859998025,63.19073859998025,63.19073859998025,63.19073859998025,63.17915609996999,63.17919019999681,63.19073859998025,63.345801699964795,63.335558699967805,63.33963939995738,63.345801699964795,63.345801699964795,63.345801699964795,63.345801699964795,63.345801699964795,63.345801699964795,63.345801699964795,64.3344430999714,64.34623999998439,64.34623999998439,64.34623999998439,64.34623999998439,64.34623999998439,64.34623999998439,64.66822449996835,j,0.32661729998653755,None,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
