thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,causalColor,direction,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,blockBreak.stopped,blockLoop.keyBlockContinue.keys,blockLoop.keyBlockContinue.rt,blockLoop.keyBlockContinue.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,,,Barrier,0.01,f,1.1000109000015073,None,,,,,,,,,,,,,0,0,0,0,0,0,0,7,28.347489600011613,,31.461566599959042,31.472551599959843,32.27249850000953,32.26087539998116,,,,,,,,#A65628,LR,28.340963499969803,28.347489600011613,28.347489600011613,28.347489600011613,28.347489600011613,28.347489600011613,28.347489600011613,28.347489600011613,29.34939280000981,29.34939280000981,29.34939280000981,29.34939280000981,29.34939280000981,29.34939280000981,29.34939280000981,29.341040199971758,29.34109719999833,29.34939280000981,29.361191699979827,29.349607400014065,29.353055000014137,29.361191699979827,29.361191699979827,29.361191699979827,29.361191699979827,29.361191699979827,29.361191699979827,29.361191699979827,30.350352399982512,30.361599600000773,30.361599600000773,30.361599600000773,30.361599600000773,30.361599600000773,30.361599600000773,31.461507999978494,f,1.1000109000015073,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
1,1,0,,,Standard,0.08,j,0.48907100001815706,None,,,,,,,,,,,,,0,0,0,0,0,1,1,16,32.27249850000953,,34.839728499995545,34.84922169998754,35.64920799998799,35.63860409997869,,,,,,,,#A65628,LR,32.26476759999059,32.27249850000953,32.27249850000953,32.27249850000953,32.27249850000953,32.27249850000953,32.27249850000953,32.27249850000953,33.271513100015,33.271513100015,33.271513100015,33.271513100015,33.271513100015,33.271513100015,33.271513100015,33.26066679996438,33.26070199999958,33.271513100015,33.34951839997666,33.338485799962655,33.34199739998439,33.34951839997666,33.34951839997666,33.34951839997666,33.34951839997666,33.34951839997666,33.34951839997666,33.34951839997666,34.338920400012285,34.3502359999693,34.3502359999693,34.3502359999693,34.3502359999693,34.3502359999693,34.3502359999693,34.83963269996457,j,0.48907100001815706,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
2,2,0,,,Standard,0,f,0.4775487000006251,None,,,,,,,,,,,,,0,0,0,0,0,2,2,12,35.64920799998799,,38.116891300014686,38.127457099966705,38.9266634999658,38.916204800014384,,,,,,,,#377EB8,RL,35.64159650000511,35.64920799998799,35.64920799998799,35.64920799998799,35.64920799998799,35.64920799998799,35.64920799998799,35.64920799998799,36.64907469996251,36.64907469996251,36.64907469996251,36.64907469996251,36.64907469996251,36.64907469996251,36.64907469996251,36.63815680000698,36.63819159998093,36.64907469996251,36.64907469996251,36.63827669998864,36.640967299987096,36.64907469996251,36.64907469996251,36.64907469996251,36.64907469996251,36.64907469996251,36.64907469996251,36.64907469996251,37.63786419999087,37.64913859998342,37.64913859998342,37.64913859998342,37.64913859998342,37.64913859998342,37.64913859998342,38.11682729999302,f,0.4775487000006251,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
3,3,0,,,Barrier,0.02,j,1.00083590002032,None,,,,,,,,,,,,,0,0,0,0,0,3,3,8,38.9266634999658,,41.949513599975035,41.96022379997885,,42.74985490000108,,,,,,,,#E41A1C,RL,38.918889399967156,38.9266634999658,38.9266634999658,38.9266634999658,38.9266634999658,38.9266634999658,38.9266634999658,38.9266634999658,39.92886119999457,39.92886119999457,39.92886119999457,39.92886119999457,39.92886119999457,39.92886119999457,39.92886119999457,39.91691979998723,39.91697540000314,39.92886119999457,39.94891749997623,39.937939499970526,39.94062449998455,39.94891749997623,39.94891749997623,39.94891749997623,39.94891749997623,39.94891749997623,39.94891749997623,39.94891749997623,40.93814350001048,40.94952699996065,40.94952699996065,40.94952699996065,40.94952699996065,40.94952699996065,40.94952699996065,41.94941880000988,j,1.00083590002032,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
4,4,0,,,Standard,0.16,f,1.1744649999891408,None,,,,,,,,,,,,,0,0,0,0,0,4,4,17,42.76077669998631,,46.083826899994165,46.0930754999863,46.89300689997617,46.88291569997091,,,,,,,,#F781BF,RL,42.75350869999966,42.76077669998631,42.76077669998631,42.76077669998631,42.76077669998631,42.76077669998631,42.76077669998631,42.76077669998631,43.76111550000496,43.76111550000496,43.76111550000496,43.76111550000496,43.76111550000496,43.76111550000496,43.76111550000496,43.74922339996556,43.74925940000685,43.76111550000496,43.91539919999195,43.90437000000384,43.90711759997066,43.91539919999195,43.91539919999195,43.91539919999195,43.91539919999195,43.91539919999195,43.91539919999195,43.91539919999195,44.9056424999726,44.915512099978514,44.915512099978514,44.915512099978514,44.915512099978514,44.915512099978514,44.915512099978514,46.08372369996505,f,1.1744649999891408,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
5,5,0,,,Portal,0.08,j,0.7728314999840222,None,,,,,,,,,,,,,0,0,0,0,0,5,5,4,46.89300689997617,,49.737765899975784,49.74934719997691,,50.5386932999827,,,,,,,,#377EB8,RL,46.88555389997782,46.89300689997617,46.89300689997617,46.89300689997617,46.89300689997617,46.89300689997617,46.89300689997617,46.89300689997617,47.893384900002275,47.893384900002275,47.893384900002275,47.893384900002275,47.893384900002275,47.893384900002275,47.893384900002275,47.88208700000541,47.8821234999923,47.893384900002275,47.97091559995897,47.960744599986356,47.96409069997026,47.97091559995897,47.97091559995897,47.97091559995897,47.97091559995897,47.97091559995897,47.97091559995897,47.97091559995897,48.95998479996342,48.97103089996381,48.97103089996381,48.97103089996381,48.97103089996381,48.97103089996381,48.97103089996381,49.73765909997746,j,0.7728314999840222,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
6,6,0,,,Barrier,0.08,f,17.44300040003145,None,,,,,,,,,,,,,0,0,0,0,0,6,6,10,50.54935200000182,,70.06062150001526,70.06968199997209,70.8701330999611,70.85856610001065,,,,,,,,#FF7F00,LR,50.54316379997181,50.54935200000182,50.54935200000182,50.54935200000182,50.54935200000182,50.54935200000182,50.54935200000182,50.54935200000182,51.549288299982436,51.549288299982436,51.549288299982436,51.549288299982436,51.549288299982436,51.549288299982436,51.549288299982436,51.53751559997909,51.53756460000295,51.549288299982436,51.62737449997803,51.61608080001315,51.62109849997796,51.62737449997803,51.62737449997803,51.62737449997803,51.62737449997803,51.62737449997803,51.62737449997803,51.62737449997803,52.61490970000159,52.62638450000668,52.62638450000668,52.62638450000668,52.62638450000668,52.62638450000668,52.62638450000668,70.06051509996178,f,17.44300040003145,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
7,7,0,,,Barrier,0.16,f,21.6872316999943,None,,,,,,,,,,,,,0,0,0,0,0,7,7,11,70.8701330999611,,94.71311279997462,94.7247852999717,,95.51387129997602,,,,,,,,#E41A1C,RL,70.86129169998458,70.8701330999611,70.8701330999611,70.8701330999611,70.8701330999611,70.8701330999611,70.8701330999611,70.8701330999611,71.87049719999777,71.87049719999777,71.87049719999777,71.87049719999777,71.87049719999777,71.87049719999777,71.87049719999777,71.85921799996868,71.85925119998865,71.87049719999777,72.02490999997826,72.01429129997268,72.01706390001345,72.02490999997826,72.02490999997826,72.02490999997826,72.02490999997826,72.02490999997826,72.02490999997826,72.02490999997826,73.01477279997198,73.02519799995935,73.02519799995935,73.02519799995935,73.02519799995935,73.02519799995935,73.02519799995935,94.71305069996743,f,21.6872316999943,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
8,8,0,,,Portal,0.16,j,1.0230852999957278,None,,,,,,,,,,,,,0,0,0,0,0,8,8,5,95.5237283000024,,98.70181989995763,98.71290869999211,99.51239960000385,99.50163879996398,,,,,,,,#F781BF,LR,95.51695849996759,95.5237283000024,95.5237283000024,95.5237283000024,95.5237283000024,95.5237283000024,95.5237283000024,95.5237283000024,96.5250177999842,96.5250177999842,96.5250177999842,96.5250177999842,96.5250177999842,96.5250177999842,96.5250177999842,96.51361899997573,96.51365460001398,96.5250177999842,96.67920209997101,96.66928500001086,96.67233249999117,96.67920209997101,96.67920209997101,96.67920209997101,96.67920209997101,96.67920209997101,96.67920209997101,96.67920209997101,97.66807969997171,97.67979189998005,97.67979189998005,97.67979189998005,97.67979189998005,97.67979189998005,97.67979189998005,98.70176129997708,j,1.0230852999957278,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
9,9,0,,,Standard,0.02,f,0.32289359997957945,None,,,,,,,,,,,,,0,0,0,0,0,9,9,14,99.51239960000385,,101.84790960000828,101.85800020000897,102.6567020000075,102.64597419998609,,,,,,,,#1B9E77,RL,99.50495530001353,99.51239960000385,99.51239960000385,99.51239960000385,99.51239960000385,99.51239960000385,99.51239960000385,99.51239960000385,100.5135657999781,100.5135657999781,100.5135657999781,100.5135657999781,100.5135657999781,100.5135657999781,100.5135657999781,100.50154659996042,100.501582900004,100.5135657999781,100.53461049997713,100.52382790000411,100.52671589999227,100.53461049997713,100.53461049997713,100.53461049997713,100.53461049997713,100.53461049997713,100.53461049997713,100.53461049997713,101.52430609997828,101.5353225999861,101.5353225999861,101.5353225999861,101.5353225999861,101.5353225999861,101.5353225999861,101.84784729999956,f,0.32289359997957945,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
10,10,0,,,Barrier,0,j,0.2664970000041649,None,,,,,,,,,,,,,0,0,0,0,0,10,10,6,102.6567020000075,,104.92365670000436,104.93442339997273,105.73434339999221,105.72346599999582,,,,,,,,#FF7F00,RL,102.64962260000175,102.6567020000075,102.6567020000075,102.6567020000075,102.6567020000075,102.6567020000075,102.6567020000075,102.6567020000075,103.6570844000089,103.6570844000089,103.6570844000089,103.6570844000089,103.6570844000089,103.6570844000089,103.6570844000089,103.64696649997495,103.64700679999078,103.6570844000089,103.6570844000089,103.64710880001076,103.65001979999943,103.6570844000089,103.6570844000089,103.6570844000089,103.6570844000089,103.6570844000089,103.6570844000089,103.6570844000089,104.64563260000432,104.65668849996291,104.65668849996291,104.65668849996291,104.65668849996291,104.65668849996291,104.65668849996291,104.92356899997685,j,0.2664970000041649,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
11,11,0,,,Portal,0.02,f,0.32769040000857785,None,,,,,,,,,,,,,0,0,0,0,0,11,11,2,105.73434339999221,,108.08022000000346,108.09041159995832,,108.88033869996434,,,,,,,,#377EB8,LR,105.72631599998567,105.73434339999221,105.73434339999221,105.73434339999221,105.73434339999221,105.73434339999221,105.73434339999221,105.73434339999221,106.73533349996433,106.73533349996433,106.73533349996433,106.73533349996433,106.73533349996433,106.73533349996433,106.73533349996433,106.72440750000533,106.72444439999526,106.73533349996433,106.75649289996363,106.74685840000166,106.74989480001386,106.75649289996363,106.75649289996363,106.75649289996363,106.75649289996363,106.75649289996363,106.75649289996363,106.75649289996363,107.74601579998853,107.75745199999074,107.75745199999074,107.75745199999074,107.75745199999074,107.75745199999074,107.75745199999074,108.08012449997477,f,0.32769040000857785,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
12,12,0,,,Standard,0.01,f,0.3484740999992937,None,,,,,,,,,,,,,0,0,0,0,0,12,12,13,108.89006659999723,,111.24615119997179,111.25681250001071,112.0562854000018,112.04575940000359,,,,,,,,#4DAF4A,LR,108.88419879996218,108.89006659999723,108.89006659999723,108.89006659999723,108.89006659999723,108.89006659999723,108.89006659999723,108.89006659999723,109.89012529997854,109.89012529997854,109.89012529997854,109.89012529997854,109.89012529997854,109.89012529997854,109.89012529997854,109.87899279996054,109.87902619998204,109.89012529997854,109.90186619997257,109.89051469997503,109.89375069999369,109.90186619997257,109.90186619997257,109.90186619997257,109.90186619997257,109.90186619997257,109.90186619997257,109.90186619997257,110.8904795999988,110.90146229998209,110.90146229998209,110.90146229998209,110.90146229998209,110.90146229998209,110.90146229998209,111.24608909996459,f,0.3484740999992937,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
13,13,0,,,Portal,0,j,0.25518519995966926,None,,,,,,,,,,,,,0,0,0,0,0,13,13,0,112.0562854000018,,114.3129304999602,114.32369799999287,115.12268450000556,115.11194979998982,,,,,,,,#FF7F00,RL,112.04860009998083,112.0562854000018,112.0562854000018,112.0562854000018,112.0562854000018,112.0562854000018,112.0562854000018,112.0562854000018,113.05615119996946,113.05615119996946,113.05615119996946,113.05615119996946,113.05615119996946,113.05615119996946,113.05615119996946,113.04540890001226,113.04544339998392,113.05615119996946,113.05615119996946,113.04553030000534,113.04823700000998,113.05615119996946,113.05615119996946,113.05615119996946,113.05615119996946,113.05615119996946,113.05615119996946,113.05615119996946,114.04530800000066,114.05617850000272,114.05617850000272,114.05617850000272,114.05617850000272,114.05617850000272,114.05617850000272,114.31286890001502,j,0.25518519995966926,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
14,14,0,,,Portal,0.04,f,0.2845320999622345,None,,,,,,,,,,,,,0,0,0,0,0,14,14,3,115.12268450000556,,117.44531290000305,117.45682749996195,,118.24566499999491,,,,,,,,#377EB8,LR,115.11512450000737,115.12268450000556,115.12268450000556,115.12268450000556,115.12268450000556,115.12268450000556,115.12268450000556,115.12268450000556,116.12352819996886,116.12352819996886,116.12352819996886,116.12352819996886,116.12352819996886,116.12352819996886,116.12352819996886,116.11294540000381,116.11299870000221,116.12352819996886,116.167059600004,116.15631399996346,116.15968049998628,116.167059600004,116.167059600004,116.167059600004,116.167059600004,116.167059600004,116.167059600004,116.167059600004,117.15645879996009,117.16821909998544,117.16821909998544,117.16821909998544,117.16821909998544,117.16821909998544,117.16821909998544,117.44525200000498,f,0.2845320999622345,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
15,15,0,,,Standard,0.04,j,0.20615019998513162,None,,,,,,,,,,,,,0,0,0,0,0,15,15,15,118.2558916999842,,120.5005476999795,120.51224569999613,,121.30103510001209,,,,,,,,#A65628,LR,118.24834869999904,118.2558916999842,118.2558916999842,118.2558916999842,118.2558916999842,118.2558916999842,118.2558916999842,118.2558916999842,119.2567049000063,119.2567049000063,119.2567049000063,119.2567049000063,119.2567049000063,119.2567049000063,119.2567049000063,119.24502460000804,119.24507289996836,119.2567049000063,119.30060249997769,119.29052649997175,119.29359429999022,119.30060249997769,119.30060249997769,119.30060249997769,119.30060249997769,119.30060249997769,119.30060249997769,119.30060249997769,120.28915039997082,120.30042589997174,120.30042589997174,120.30042589997174,120.30042589997174,120.30042589997174,120.30042589997174,120.50048869999591,j,0.20615019998513162,None,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
